id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,lyrics
13,Ride It,Regard,pop,happy,0.7509999999999999,117.95,0.884,0.88,0.177,94,"Ride it, we're all alone Ride  it, just lose control Ride  it, ride it, come touch my soul Ride it, ride, let me feel you Ride it, turn the lights down low Ride  it, from head to toe Ride  it, ride it, touch my soul Ride it, ride, let me feel you It's  been a month and twenty days And we're going 'round and 'round, playing silly games Now you're saying, slow it down, not right now Then ya wink at me and walk away Let  it be, let it be, let it be known Hold on, don't go Touching and teasing me, t"
14,HIGHEST IN THE ROOM,Travis Scott,pop,sad,0.4270000000000001,76.47,0.06,0.598,0.055,94,"I got room in my fumes (Yeah) She fill my mind up with ideas I'm the highest in the room (It's lit) Hope I make it outta here (Let's go) She saw my eyes, she know I'm gone (Ah) I see some things that you might fear I'm doin' a show, I'll be back soon (Soon) That ain't what she wanna hear (Nah) Now I got her in my room (Ah) Legs wrapped around my beard Got the fastest car, it zoom (Skrrt) Hope we make it outta here (Ah) When I'm with you, I feel alive You say you love me, don't you lie (Yeah) Won"
15,hot girl bummer,blackbear,pop,happy,0.5589999999999999,129.99,0.678,0.778,0.128,94,"Fuck you, and you, and you I hate your friends and they hate me too I'm through, I'm through, I'm through This that hot girl bummer anthem Turn it up and throw a tantrum This that hot girl bummer anthem Turn it up and throw a tantrum This that throw up in your Birkin bag Hook up with someone random This that social awkward suicide That buy your lips and buy your likes I swear she had a man But shit hit different when it's Thursday night That college dropout music Every day leg day, she be too th"
16,Someone You Loved,Lewis Capaldi,pop,neutral,0.405,109.89,0.446,0.501,0.751,94,"I'm going under, and this time, I fear there's no one to save me This all or nothing really got a way of driving me crazy I need somebody to heal, somebody to know Somebody to have, somebody to hold It's easy to say, but it's never the same I guess I kinda liked the way you numbed all the pain Now, the day bleeds into nightfall And you're not here to get me through it all I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved I'm going under, and this"
17,BOP,DaBaby,rap,happy,0.787,126.77,0.836,0.769,0.189,93,"You know everybody been waiting on that Baby, man I mean, it's like ever since Baby on Baby dropped, man, like, you know (Ever since Baby on Baby dropped) Ain't nobody drop shit (Oh Lord, Jetson made another one) Let's go, hah I needed some shit with some bop in it (Let's go) I flew past the whip with that blunt in my mouth Watch the swervin', that whip had a cop in it (Woo) My bitch got good pussy, fly her 'cross the country I finish the show and I hop in it I got me a milli', I did it legit-ly"
18,Lose You To Love Me,Selena Gomez,pop,sad,0.34,101.99,0.092,0.505,0.576,93,"You promised the world and I fell for it I put you first and you adored it Set fires to my forest And you let it burn Sang off-key in my chorus 'Cause it wasn't yours I saw the signs and I ignored it Rose-colored glasses all distorted Set fire to my purpose And I let it burn You got off on the hurtin' When it wasn't yours, yeah We'd always go into it blindly I needed to lose you to find me This dancing was killing me softly I needed to hate you to love me, yeah To love, love, yeah To love, love,"
19,Life Is Good (feat. Drake),Future,rap,neutral,0.609,142.04,0.508,0.676,0.071,93,"NA Workin' on a weekend like usual Way off in the deep end like usual Niggas swear they passed us, they doin' too much Haven't done my taxes, I'm too turnt up Virgil got a Patek on my wrist goin' nuts Niggas caught me slippin' once, okay, so what? Someone hit your block up, I'd tell you if it was us Manor house in Rosewood, this shit too plush Say my days are numbered, but I keep wakin' up Know you see my texts, baby, please say some Wine by the glass, your man a cheapskate, huh? Niggas gotta mo"
20,Heartless,The Weeknd,pop,sad,0.75,169.95,0.198,0.531,0.006,93,"Young Metro, young Metro, young Metro (Sheesh) Ayy (Ayy) Young Metro, young Metro Never need a bitch, I'm what a bitch need (Bitch need) Tryna find the one that can fix me I've been dodgin' death in the six speed Amphetamine got my stummy feelin' sickly Yeah, I want it all now I've been runnin' through the pussy, need a dog pound Hundred models gettin' faded in the compound Tryna love me, but they never get a pulse down Why? 'Cause I'm heartless And I'm back to my ways 'cause I'm heartless All t"
21,No Idea,Don Toliver,rap,sad,0.614,128.04,0.35,0.656,0.558,92,"I know, I know, I know that you're drunk (Yeah) Tell me what you want after this club (Oh-oh) You know I get nasty (Know I get nasty) Uber ride to my house, called a taxi (Uber ride to my house, yeah) I'm picky with my women, I'm decidin' (Oh) Call me to your crib and I'ma slide in (Yeah) I'm picky with my women, I'm decidin' (Oh) Call me to your crib and I'ma slide in (Call me to your crib and I'ma) First things first let me get that introduction (Let me get that introdu—) We on a long road to "
22,Lucid Dreams,Juice WRLD,r&b,sad,0.5660000000000001,83.9,0.218,0.511,0.349,92,"Enviyon on the mix No, no, no, no No-no, no, no, no No, no, no, no, no No, no, no, no I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you, so I must replace you, oh Easier said than done, I thought you were the one Listenin' to my heart instead of my head You found another one, but I am the better one I won't let you forget me I still see your shadows in my room Can't take back the love that I gave you"
23,Bandit (with YoungBoy Never Broke Again),Juice WRLD,pop,neutral,0.631,180.05,0.425,0.474,0.069,92,"It's funny, the shit I put on this song ain't gon' sound nothin' like the shit we was just doin' Oh, yeah I just want bad bitches Baddest, them bitches is the baddest, uh, uh When I take the molly, I'm a savage Uh, I say, uh I don't need no molly to be savage, uh When I'm on that molly, I feel savage, uh, uh She the definition of a bad bitch Stole her, I'm the definition of a bandit, uh, ayy I don't need no molly to be savage, uh, ayy But when I'm on the molly, I feel savage Ayy, my girl the def"
24,How Do You Sleep?,Sam Smith,pop,sad,0.682,110.57,0.345,0.477,0.153,91,"I'm done hatin' myself for feelin'I'm done cryin' myself awake I gotta leave and start the healin' But when you move like that, I just wanna stay What have I become now? Lookin' through your phone now Oh now, love to you is just a game Look what I have done now Dialling up the numbers on you I don't want my heart to break Baby, how do you sleep when you lie to me? All that shame and all that danger I'm hopin' that my love will keep you up tonight Baby, how do you sleep when you lie to me? All th"
25,Ayy Macarena,Tyga,pop,happy,0.63,96.49,0.715,0.816,0.133,91,"Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría y cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena (Aight, uh) Ayy, Macarena, Macarena, Macarena (Ayy) Put the chopper on a nigga, turn him to a sprinter (Yee) Bitches on my dick, told 'em give me one minute (One minute) Ayy, Macarena, aight (Ayy) Ayy, Macarena, Macarena, Macarena (Woo) Put the chopper on a nigga, turn him to a sprinter (Woah) Bitches on my dick, tell 'em give me one minute (Minute) Ayy, Macarena, aig"
26,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,happy,0.621,97.99,0.668,0.857,0.148,91,"She got the mmm, brown eyes, caramel thighs Long hair, no wedding ring, hey I saw you lookin' from across the way And now I really wanna know your name She got the mmm, white dress, but when she's wearin' less Man, you know that she drives me crazy The mmm, brown eyes, beautiful smile You know I love watching you do your thing I love her hips, curves, lips say the words""Te amo, mami, ah, te amo, mami"" I kiss her, this love is like a dream So join me in this bed that I'm in Push up on me and swea"
27,Adore You,Harry Styles,pop,neutral,0.7709999999999999,99.05,0.569,0.676,0.024,91,"Walk in your rainbow paradise (Paradise) Strawberry lipstick state of mind (State of mind) I get so lost inside your eyes Would you believe it? You don't have to say you love me You don't have to say nothing You don't have to say you're mine Honey (Ah-ah-ah) I'd walk through fire for you Just let me adore you Oh, honey (Ah-ah-ah) I'd walk through fire for you Just let me adore you Like it's the only thing I'll ever do Like it's the only thing I'll ever do You're wonder under summer sky (Summer s"
28,Futsal Shuffle 2020,Lil Uzi Vert,rap,sad,0.457,136.97,0.296,0.881,0.033,91,"Yo, sing this shit, are y'all fuckin' dumb? Eternal Atake Gotta shoot two at her (Yeah) Gotta shoot two at her (Woah) Blue cheddar (Yeah) That girl, she got with my clone (One, two, three) I told that lil' girl that she gotta just do better (Woah) Are you serious? I swear my money get serious Okay, all my checks, I just be clearin' it She suck my dick 'til she get delirious (Wow) Okay, jump on the jet, so I'm Clearin' it (Woo) Okay, 'Port, but I'm not talking New' (Let's go) Okay, smoke that boy"
29,Goodbyes (feat. Young Thug),Post Malone,latin,sad,0.653,150.07,0.163,0.548,0.456,90,"Me and Kurt feel the same, too much pleasure is pain My girl spites me in vain, all I do is complain She needs something to change, need to take off the e-e-edge So fuck it all tonight And don't tell me to shut up When you know you talk too much But you don't got shit to say (Say) I want you out of my head I want you out of my bedroom tonight (Bedroom) There's no way I could save you (Save you) 'Cause I need to be saved too I'm no good at goodbyes We're both actin' insane, but too stubborn to ch"
30,7 rings,Ariana Grande,pop,sad,0.317,140.05,0.327,0.778,0.592,90,"Yeah, breakfast at Tiffany's and bottles of bubbles Girls with tattoos who like getting in trouble Lashes and diamonds, ATM machines Buy myself all of my favorite things (Yeah) Been through some bad shit, I should be a sad bitch Who woulda thought it'd turn me to a savage? Rather be tied up with calls and not strings Write my own checks like I write what I sing, yeah (Yeah) My wrist, stop watchin', my neck is flossy Make big deposits, my gloss is poppin'You like my hair? Gee, thanks, just bought"
31,Old Town Road - Remix,Lil Nas X,pop,happy,0.619,136.04,0.639,0.878,0.053,90,"Yeah, I'm gonna take my horse to the old town road I'm gonna ride 'til I can't no more I'm gonna take my horse to the old town road I'm gonna ride 'til I can't no more(Kio, Kio) I got the horses in the back Horse tack is attached Hat is matte black Got the boots that's black to match Ridin' on a horse, ha You can whip your Porsche I been in the valley You ain't been up off that porch, now Can't nobody tell me nothin' You can't tell me nothin' Can't nobody tell me nothin' You can't tell me nothin"
32,Ballin' (with Roddy Ricch),Mustard,rap,sad,0.545,97.01,0.244,0.809,0.392,90,"I don't really wanna go I don't really wanna stay But I really hope and pray Can we get it together? Get it together Mustard on the beat, ho I put the new Forgis on the Jeep I trap until the bloody bottoms is underneath 'Cause all my niggas got it out the streets I keep a hundred racks inside my jeans I remember hittin' the mall with the whole team Now a nigga can't answer calls 'cause I'm ballin' I was wakin' up, gettin' racks in the morning I was broke, now I'm rich, these niggas salty All thi"
33,Suicidal,YNW Melly,rap,sad,0.369,140.0,0.235,0.736,0.334,90,"Suicidal Your love is suicidal Lately I've been feeling suicidal Your love is suicidal I thought that we were meant to be You took my heart and made it bleed I gave you all my ecstasy I know you'll be the death of me Left lipstick on my Hennessy Felt like you took my soul from me You gave me all your ecstasy I thought that we were meant to be Your love is suicidal For me, your love is suicidal To me, your love is suicidal To me, your love is suicidal I'm sippin' Hennessy-'y-'y, ooh I'm sippin' H"
34,Ransom,Lil Tecca,pop,sad,0.642,179.97,0.226,0.745,0.02,90,"Turn you to a dancer Yeah Internet Money, bitch I got black, I got white, what you want? Hop outside a Ghost and hop up in a Phantom I know I'm 'bout to blow, I ain't dumb They try to take my flow, I take they ass for ransom I know that I'm gone They see me blowin' up, now they say they want some I got two twin Glocks, turn you to a dancer I see two twin opps, leave 'em on a banner And I got two thick thots, wanna link the gang, yeah I got red, I got blue, what you want? The Chanel or Balenciaga"
35,Before You Go,Lewis Capaldi,pop,sad,0.575,111.88,0.183,0.459,0.604,90,"I fell by the wayside like everyone else I hate you, I hate you, I hate you but I was just kidding myself Our every moment, I start to replace 'Cause now that they're gone, all I hear are the words that I needed to say When you hurt under the surface Like troubled water running cold Well, time can heal but this won't So, before you go Was there something I could've said To make your heart beat better? If only I'd have known you had a storm to weather So, before you go Was there something I could"
36,All I Want for Christmas Is You,Mariah Carey,r&b,sad,0.625,150.28,0.346,0.335,0.164,90,"I don't want a lot for Christmas There is just one thing I need I don't care about the presents Underneath the Christmas tree I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you, yeah I don't want a lot for Christmas There is just one thing I need (And I) Don't care about the presents Underneath the Christmas tree I don't need to hang my stocking There upon the fireplace (Ah) Santa Claus won't make me happy With a toy on Christmas Day I"
37,Watermelon Sugar,Harry Styles,pop,neutral,0.816,95.39,0.557,0.548,0.122,90,"Tastes like strawberries on a summer evenin' And it sounds just like a song I want more berries and that summer feelin' It's so wonderful and warm Breathe me in, breathe me out I don't know if I could ever go without I'm just thinking out loud I don't know if I could ever go without Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar Strawberries on a summer evenin'Baby, you're the end of June I want your belly and that summer feelin' Getting "
38,I Don't Care (with Justin Bieber),Ed Sheeran,pop,happy,0.675,101.96,0.842,0.798,0.091,90,"I'm at a party I don't wanna be at And I don't ever wear a suit and tie, yeah Wonderin' if I could sneak out the back Nobody's even lookin' me in my eyes Then you take my hand Finish my drink, say, ""Shall we dance?"" (Hell, yeah) You know I love ya, did I ever tell ya? You make it better like that Don't think I fit in at this party Everyone's got so much to say (Yeah) I always feel like I'm nobody, mmm Who wants to fit in anyway? 'Cause I don't care when I'm with my baby, yeah All the bad things "
39,Trampoline (with ZAYN),SHAED,pop,neutral,0.459,126.8,0.498,0.619,0.56,90,"I've been havin' dreams Jumpin' on a trampoline Flippin' in the air I never land, just float there As I'm lookin' up Suddenly the sky erupts Flames alight the trees, spread to fallin' leaves Now they're right upon me Wait, if I'm on fire How am I so deep in love? When I dream of dyin' I never feel so loved (So loved) I've been havin' dreams Splashin' in the summer stream Trip and I fall in I wanted it to happen My body turns to ice Crushin' weight of paradise Solid block of gold, lyin' in the co"
40,Beautiful People (feat. Khalid),Ed Sheeran,pop,neutral,0.648,92.98,0.548,0.64,0.124,89,"We are, we are, we are L.A. on a Saturday night in the summer Sundown and they all come out Lamborghinis and their rented Hummers The party's on, so they're headin' downtown ('Round here) Everybody's lookin' for a come up And they wanna know what you're about Me in the middle with the one I love and We're just tryna figure everything out We don't fit in well 'cause we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunning, dear, so don't ask that questi"
41,Yellow Hearts,Ant Saunders,pop,happy,0.438,129.04,0.695,0.865,0.177,89,"She put my name with yellow hearts Her favorite color, like the stars I didn't listen very hard When she told me she was crazy from the start She put my name with yellow hearts (Yeah, she did) I said she was a work of art (Work of art) I didn't listen very hard (Very hard, no, no) When she told me she was crazy from the start I drive down open roads so slow Here comes a train, I'll let it go Ain't got nobody on my phone Don't like being all alone (Don't like being all alone) Not good at keeping "
42,lovely (with Khalid),Billie Eilish,r&b,sad,0.296,115.28,0.12,0.351,0.934,89,"Thought I found a way Thought I found a way out (Found) But you never go away (Never go away) So I guess I gotta stay now Oh, I hope some day I'll make it out of here Even if it takes all night or a hundred years Need a place to hide, but I can't find one near Wanna feel alive, outside I can't fight my fear Isn't it lovely, all alone Heart made of glass, my mind of stone Tear me to pieces, skin to bone Hello, welcome home Walking out of time Looking for a better place (Looking for a better place"
43,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,pop,neutral,0.892,95.93,0.478,0.668,0.298,89,"I do my hair toss, check my nails Baby, how you feelin'? (Feelin' good as hell) Hair toss, check my nails Baby, how you feelin'? (Feelin' good as hell) Woo, child, tired of the bullshit Go on, dust your shoulders off, keep it moving Yes, Lord, tryna get some new shit In there, swimwear, going-to-the-pool shit Come now, come dry your eyes You know you a star, you can touch the sky I know that it's hard, but you have to try If you need advice, let me simplify If he don't love you anymore Just walk"
44,Happier,Marshmello,pop,happy,0.792,100.02,0.671,0.687,0.191,89,"Lately, I've been, I've been thinking I want you to be happier, I want you to be happier When the morning comes When we see what we've become In the cold light of day, we're a flame in the wind Not the fire that we've begun Every argument, every word we can't take back 'Cause with all that has happened I think that we both know the way that this story ends Then only for a minute I want to change my mind 'Cause this just don't feel right to me I wanna raise your spirits I want to see you smile bu"
45,It's You,Ali Gatie,pop,sad,0.463,95.97,0.397,0.732,0.374,89,"It's you, it's always you If I'm ever gonna fall in love, I know it's gon' be you It's you, it's always you Met a lot of people, but nobody feels like you So please don't break my heart, don't tear me apart I know how it starts, trust me, I've been broken before Don't break me again, I am delicate Please don't break my heart, trust me, I've been broken before I've been broken, yeah, I know how it feels To be open and then find out your love isn't real I'm still hurting, yeah, I'm hurting inside "
46,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,rap,sad,0.491,153.13,0.114,0.559,0.057,89,"I got room in my fumes (Yeah) She fill my mind up with ideas I'm the highest in the room (It's lit) Hope I make it outta here (Let's go) She saw my eyes, she know I'm gone (Ah) I see some things that you might fear I'm doin' a show, I'll be back soon (Soon) That ain't what she wanna hear (Nah) Now I got her in my room (Ah) Legs wrapped around my beard Got the fastest car, it zoom (Skrrt) Hope we make it outta here (Ah) When I'm with you, I feel alive You say you love me, don't you lie (Yeah) Won"
47,SUGAR,BROCKHAMPTON,rap,neutral,0.5379999999999999,122.97,0.516,0.453,0.449,88,"Spendin' all my nights alone, waitin' for you to call me You're the only one I want by my side when I fall asleep Tell me what I'm waitin' for, tell me what I'm waitin' for I know it's hard but we need each other Know it's hard but we need each other I move mountains on my own, don't need nobody help Changed your mind when I changed my life, better start believin' in myself And we all out lookin' for, lookin' for God so we never see it in ourself Shit, divine intervention move in stealth It's ha"
48,Piece Of Your Heart,MEDUZA,latin,happy,0.7440000000000001,124.08,0.631,0.677,0.04,88,"Show me a piece of your heart, a piece of your love I'm calling you up to gettin' down, down, down The way that we touch is never enough I'm turning you up to gettin' down, down Show me a piece of your heart, a piece of your love I'm calling you up to gettin' down, down, down The way that we touch is never enough I'm turning you up to gettin' down, down, down What? Sorry, just quickly What if it's da, da, da, uh, uh Da, da, da, uh, uh Down, down, down Uh, da, da, da, uh, uh Da, da, da, uh, uh Da"
49,Woah,Lil Baby,rap,neutral,0.602,142.96,0.43,0.882,0.018,88,"New car very noisy Come through and it's roarin' Yeah, yeah You know how I'm coming You know how I'm coming Bend her over, then I murk her Call Gunna if you want you a Birkin ""Oh, Baby, you be lyin' in your verses I be hearin', say you buyin' 'em purses"" I can't even lie, you ain't my type You ain't even all that fine in person I can guarantee you if you my kind She got every bag you can imagine Big house, I can really be braggin'Hundred thousand in my mouth like, ""What's happenin'?"" Not the big"
50,Falling,Harry Styles,r&b,sad,0.267,110.01,0.059,0.567,0.839,88,"I'm in my bed And you're not here And there's no one to blame but the drink and my wandering hands Forget what I said It's not what I meant And I can't take it back, I can't unpack the baggage you left What am I now? What am I now? What if I'm someone I don't want around? I'm falling again, I'm falling again, I'm fallin' What if I'm down? What if I'm out? What if I'm someone you won't talk about? I'm falling again, I'm falling again, I'm fallin' You said you care, and you missed me too And I'm w"
51,Shallow,Lady Gaga,r&b,sad,0.385,95.8,0.323,0.572,0.371,88,"Tell me somethin', girl Are you happy in this modern world? Or do you need more? Is there somethin' else you're searchin' for? I'm fallin' In all the good times I find myself longing for change And, in the bad times, I fear myself Tell me something, boy Aren't you tired tryna fill that void? Or do you need more? Ain't it hard keepin' it so hardcore? I'm falling In all the good times I find myself longing for change And, in the bad times, I fear myself I'm off the deep end, watch as I dive in I'l"
52,rockstar (feat. 21 Savage),Post Malone,rap,sad,0.52,159.8,0.129,0.585,0.124,88,"Hahahahaha Tank God Ayy, ayy I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar (Star, ayy, ayy) All my brothers got that gas And they always be smokin' like a Rasta ('Sta) Fuckin' with me, call up on a Uzi And show up, man, them the shottas ('Tas) When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta, pow, pow, pow, ayy, ayy) Switch my whip, came back in black I'm startin' sayin', ""Rest in peace to Bon Scott"" (Scott, ayy) Close that door, we bl"
53,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,latin,sad,0.7809999999999999,104.0,0.359,0.817,0.008,88,"Own it Girl, you just own it 'Cause your body's on fire Show me how to control it And go hit your spliff and get higher Girl, I love how you roll it I put my hand there, hold it I'ma be right by ya I'ma be right by ya I'ma be right by ya I'ma be right by ya Lighters up, lighters up, one time, lighters up Pulled up in the party, when you saw me, I was lightin' up my J So go ahead and brighten up my day Lighters in the air when you lighting up the rave And it's feelin' like I met you here before ("
54,July,Noah Cyrus,pop,sad,0.186,72.54,0.321,0.708,0.868,88,"I've been holding my breath I've  been counting to 10 Over  something you said I've been holding back tears While you're throwing back beers I'm  alone in my bed You  know I, I'm afraid of change Guess that's why we stay the same So  tell me to leave I'll pack my bags, get on the road Find someone that loves you Better than I do, darling, I know'Cause  you remind me every day I'm not enough, but I still stay Feels like a lifetime Just tryna get by While we're dying inside I've done a lot of thin"
55,Believer,Imagine Dragons,latin,happy,0.78,124.95,0.666,0.776,0.062,88,"First things first I'ma say all the words inside my head I'm fired up and tired of the way that things have been, oh-ooh The way that things have been, oh-ooh Second thing second Don't you tell me what you think that I could be I'm the one at the sail, I'm the master of my sea, oh-ooh The master of my sea, oh-ooh I was broken from a young age Taking my sulkin' to the masses Writing my poems for the few That look at me, took to me, shook at me, feelin' me Singing from heartache from the pain Taki"
56,If The World Was Ending (feat. Julia Michaels),JP Saxe,pop,happy,0.473,75.8,0.604,0.464,0.866,88,"I was distracted and in traffic I didn't feel it when the earthquake happened But it really got me thinkin', were you out drinkin'? Were you in the living room, chillin', watchin' television? It's been a year now, think I've figured out how How to let you go and let communication die out I know, you know, we know you weren't Down for forever and it's fine I know, you know, we know we weren't Meant for each other and it's fine But if the world was ending, you'd come over, right? You'd come over a"
57,VIBEZ,DaBaby,rap,happy,0.652,154.19,0.777,0.768,0.113,88,"Let's go (Yeah, yeah, Neeko, you made that motherfuckin' beat? Ah, nah) You know it's Baby, nigga, hahaha Hah (Oh Lord, Jetson made another one), ha She wanna fuck with me, but I don't got the time (Mmh, mmh) I just hopped off a private plane and went and hopped on 85 (Yeah) Go call my chauffeur, bitch, 'cause I don't like to drive We in Suburbans back to back and we gon' fill 'em up with vibes (Let's go) Fill 'em with vibes (Yeah), get in and ride (Yeah, yeah) And no, a nigga not blind (Uh-uh) "
58,Money In The Grave (Drake ft. Rick Ross),Drake,rap,sad,0.502,100.54,0.101,0.831,0.101,88,"Yeah, okay Lil CC on the beat, mmm Yeah, yeah I mean, where the fuck should I really even start? I got hoes that I'm keepin' in the dark I got my niggas 'cross the street livin' large Thinkin' back to the fact that they dead Thought my raps wasn't facts 'til they sat with the bars I got two phones, one need a charge Yeah, they twins, I could tell they ass apart I got big packs comin' on the way I got big stacks comin' out the safe I got Lil Max with me, he the wave It's a big gap between us in t"
